gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,some college,free/reduced,none,47,50,51
male,group C,high school,free/reduced,completed,61,62,65
female,group B,high school,standard,none,61,77,77
female,group E,high school,free/reduced,none,64,72,70
male,group C,high school,standard,none,62,69,62
male,group D,high school,free/reduced,completed,60,74,70
male,group C,high school,free/reduced,none,60,60,54
male,group C,bachelor's degree,standard,none,67,66,61
male,group D,some high school,free/reduced,none,73,66,67
female,group D,some college,standard,none,76,86,89
female,group E,some high school,standard,none,77,77,78
male,group D,some high school,standard,none,74,64,65
male,group C,associate's degree,standard,completed,75,73,77
male,group B,high school,standard,none,73,73,70
female,group B,some college,standard,none,44,53,51
female,group C,associate's degree,free/reduced,none,63,65,64
male,group E,master's degree,free/reduced,none,83,81,71
female,group B,high school,standard,none,86,86,85
female,group D,some college,free/reduced,none,42,51,52
male,group D,high school,standard,completed,75,66,73
female,group D,some college,standard,none,79,85,84
male,group A,some college,standard,none,63,53,51
male,group C,high school,standard,completed,89,86,90
male,group C,some college,free/reduced,completed,64,66,72
male,group B,associate's degree,standard,completed,100,90,89
female,group C,associate's degree,standard,none,54,56,60
female,group C,high school,standard,none,76,69,71
female,group A,some college,standard,none,68,87,85
female,group B,associate's degree,standard,completed,58,68,71
female,group A,associate's degree,standard,completed,46,58,58
female,group C,some high school,standard,completed,69,81,82
female,group A,some college,standard,completed,80,94,94
female,group B,master's degree,standard,none,94,93,93
male,group C,high school,free/reduced,none,37,42,30
female,group C,some college,standard,none,66,69,69
female,group E,associate's degree,standard,none,90,91,95
male,group D,high school,standard,none,68,68,64
female,group C,master's degree,standard,completed,87,85,95
male,group D,high school,standard,none,70,60,60
female,group D,some college,free/reduced,none,50,65,69
male,group B,some college,free/reduced,none,73,81,80
female,group B,high school,free/reduced,none,48,54,52
male,group D,high school,free/reduced,none,56,56,52
male,group E,associate's degree,standard,completed,76,75,69
male,group B,some college,free/reduced,completed,63,64,70
male,group D,bachelor's degree,free/reduced,completed,81,81,82
male,group B,some high school,standard,completed,75,81,78
male,group B,some high school,free/reduced,none,42,23,23
male,group B,bachelor's degree,free/reduced,none,70,67,70
male,group E,high school,standard,none,96,96,91
