,"Fit time, s","Score time, s",Regressor,R2 on test,MAE on test
0,4.453144311904907,0.04114055633544922,SelfWritedBagging,0.2496787611145116,30.7223837527363
1,4.50350022315979,0.061992645263671875,SelfWritedBagging,0.26797754777332683,31.30681817575512
2,4.449318885803223,0.04877877235412598,SelfWritedBagging,0.24339453851890658,30.825126525372614
3,4.399766445159912,0.04118776321411133,SelfWritedBagging,0.2174175156012259,31.02841089673364
4,5.7278289794921875,0.05099678039550781,SelfWritedBagging,0.2094855701189069,30.7171108527215
0,3.1440751552581787,0.016996383666992188,Bagging,0.2481539062125857,30.7444881094004
1,3.267024517059326,0.012069225311279297,Bagging,0.26690445805783125,31.314118407530493
2,3.2299163341522217,0.017894268035888672,Bagging,0.24395987827962962,30.81955290302883
3,3.160086154937744,0.014916181564331055,Bagging,0.21517847243050703,31.06313112160318
4,1.3225996494293213,0.016388893127441406,Bagging,0.20759646702008827,30.746323089770414
0,7.209534406661987,0.017325639724731445,RandomForest,0.24906814062395843,30.726188171075588
1,7.014127016067505,0.03183603286743164,RandomForest,0.2677185258144673,31.299787491135508
2,7.32300877571106,0.0198974609375,RandomForest,0.24443030153595446,30.820013372676506
3,6.971153974533081,0.014739036560058594,RandomForest,0.21523826117595024,31.067019263326593
4,4.802000999450684,0.02890157699584961,RandomForest,0.20953782099224005,30.70873579788216
0,4.691488265991211,0.006483554840087891,SelfWritedAdaBoost,0.20493177697926235,31.568
1,4.603839159011841,0.0066111087799072266,SelfWritedAdaBoost,0.21929928796730724,32.3015
2,4.751915216445923,0.016094207763671875,SelfWritedAdaBoost,0.20082459716023193,31.5815
3,4.713680744171143,0.006592988967895508,SelfWritedAdaBoost,0.19369386881362405,31.346
4,6.021103382110596,0.005940914154052734,SelfWritedAdaBoost,0.1783497816897146,31.2925
0,4.360243558883667,0.04461026191711426,SelfWritedBagging,0.24820177930669585,30.739056596046602
1,4.453805208206177,0.0733184814453125,SelfWritedBagging,0.2676876405742519,31.305472879919666
2,4.296153545379639,0.028061866760253906,SelfWritedBagging,0.24323241155231956,30.825712600086625
3,4.321336507797241,0.04790687561035156,SelfWritedBagging,0.2167886859860928,31.04432753563055
4,6.113918781280518,0.05113077163696289,SelfWritedBagging,0.2090884559077677,30.73080740430019
0,3.138434410095215,0.016334056854248047,Bagging,0.2481539062125857,30.7444881094004
1,3.147505760192871,0.014562129974365234,Bagging,0.26690445805783125,31.314118407530493
2,3.220048666000366,0.014576435089111328,Bagging,0.24395987827962962,30.81955290302883
3,3.198681592941284,0.01491999626159668,Bagging,0.21517847243050703,31.06313112160318
4,1.2152552604675293,0.018305063247680664,Bagging,0.20759646702008827,30.746323089770414
0,7.0234527587890625,0.02714061737060547,RandomForest,0.24906814062395843,30.72618817107559
1,7.124313831329346,0.019774675369262695,RandomForest,0.2677185258144673,31.29978749113551
2,6.805922269821167,0.03597259521484375,RandomForest,0.24443030153595457,30.820013372676506
3,6.706141710281372,0.011355400085449219,RandomForest,0.21523826117595024,31.067019263326593
4,5.2262279987335205,0.03174567222595215,RandomForest,0.20953782099224016,30.70873579788216
0,4.582192659378052,0.007184743881225586,SelfWritedAdaBoost,0.20493177697926235,31.568
1,4.65396523475647,0.006056547164916992,SelfWritedAdaBoost,0.21929928796730724,32.3015
2,4.604116916656494,0.007652997970581055,SelfWritedAdaBoost,0.20082459716023193,31.5815
3,4.504395246505737,0.0073163509368896484,SelfWritedAdaBoost,0.19369386881362405,31.346
4,6.064024209976196,0.005883216857910156,SelfWritedAdaBoost,0.1783497816897146,31.2925
0,4.338200092315674,0.0067903995513916016,AdaBoost,0.2194462240518813,31.379903857541105
1,4.240021467208862,0.00677943229675293,AdaBoost,0.24012305300005277,32.00327197063823
2,4.438594579696655,0.011991024017333984,AdaBoost,0.23446564934839276,30.990487818352186
3,4.407055854797363,0.011824846267700195,AdaBoost,0.22245715127272925,30.966784133199873
4,3.602531909942627,0.006414890289306641,AdaBoost,0.2014453609422806,30.959556601497184
0,5.1417927742004395,0.005431652069091797,GradientBoosting,0.26749450764523974,30.280283977902517
1,5.199984788894653,0.005944490432739258,GradientBoosting,0.28263542157531685,31.00177831039078
